Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000068,Community Nurse,MA,Healthcare Provider,6746,2026-03-12,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.8168532406274256,1,1,0,0,0,0,0,1
HHS-000069,Team Select,AZ,Healthcare Provider,949,2026-03-12,2026,3,Hacking/IT Incident,"Network Server, Other",Yes,Archived,0,6.8564619845945867,1,1,0,0,0,0,0,1
HHS-000070,Defense Health Agency,VA,Health Plan,96271,2026-03-12,2026,3,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,Archived,0,11.474932797460133,1,1,0,0,0,0,0,1
HHS-000071,SSM Health,OK,Healthcare Provider,597,2026-03-11,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,6.3935907539506314,1,1,0,0,0,0,0,1
HHS-000072,"Guardian Home Health Care, LLC",MA,Healthcare Provider,613,2026-03-11,2026,3,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,Archived,0,6.4199949281471422,1,1,0,0,0,0,0,1
HHS-000073,NYC Health + Hospitals,NY,Healthcare Provider,5086,2026-03-10,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.5344435448227642,1,1,0,0,0,0,0,1
HHS-000074,"Colorado Allergy & Asthma Centers, P.C.",CO,Healthcare Provider,2063,2026-03-06,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,7.6324011266014535,1,1,0,0,0,0,0,1
HHS-000075,Longevity Health Plan,FL,Health Plan,15000,2026-03-04,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,9.6158721445288897,1,1,0,0,0,0,0,1
HHS-000076,Greater Boston Urology,MA,Healthcare Provider,4717,2026-02-28,2026,2,Hacking/IT Incident,Email,Yes,Archived,0,8.4591402599676204,1,1,0,0,0,0,0,1
HHS-000077,Insurance ACE/Humana Inc.,KY,Health Plan,1000,2026-02-28,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,6.9087547793152204,1,1,0,0,0,0,0,1
